questions,in,on,total,majority
Q1,8,21,29,21
Q10,1,26,27,26
Q102,31,0,31,31
Q12,3,28,31,28
Q16,1,28,29,28
Q17,2,27,29,27
Q18,23,6,29,23
Q19,20,7,27,20
Q2,1,31,32,31
Q24,20,11,31,20
Q25,28,2,30,28
Q26,29,1,30,29
Q27,23,5,28,23
Q28,5,24,29,24
Q29,1,29,30,29
Q3,12,20,32,20
Q30,19,12,31,19
Q32,32,0,32,32
Q34,1,26,27,26
Q38,6,23,29,23
Q39,28,2,30,28
Q47,1,27,28,27
Q52,31,0,31,31
Q53,19,9,28,19
Q54,27,3,30,27
Q57,8,23,31,23
Q58,28,2,30,28
Q59,29,0,29,29
Q60,32,0,32,32
Q61,28,0,28,28
Q62,32,0,32,32
Q63,5,23,28,23
Q64,32,0,32,32
Q65,29,1,30,29
Q66,21,9,30,21
Q67,3,26,29,26
Q68,6,24,30,24
Q69,32,0,32,32
Q70,14,15,29,15
Q71,27,0,27,27
Q72,32,0,32,32
Q73,25,5,30,25
Q74,30,0,30,30
Q75,32,0,32,32
Q76,1,29,30,29
Q77,26,4,30,26
Q78,22,8,30,22
Q79,28,1,29,28
Q80,17,13,30,17
Q81,26,6,32,26
Q84,8,23,31,23
Q85,27,2,29,27
Q88,2,25,27,25
Q89,2,26,28,26
Q94,1,29,30,29
Q96,1,26,27,26
Q13,0,30,30,30
Q20,0,29,29,29
Q21,0,32,32,32
Q22,0,30,30,30
Q23,0,30,30,30
Q37,0,32,32,32
Q4,0,29,29,29
Q41,0,28,28,28
Q5,0,30,30,30
Q6,0,32,32,32
Q7,0,30,30,30
Q82,0,29,29,29
Q83,0,29,29,29
Q86,0,29,29,29
Q87,0,32,32,32
Q9,0,32,32,32
Q90,0,29,29,29
Q92,0,30,30,30
Q95,0,32,32,32
Q97,0,28,28,28
Q98,0,32,32,32
